state,date,cases,deaths,incidence
SD,2020-06-06 00:00:00,5367,65,606.6744361386702
TN,2020-06-06 00:00:00,26177,417,383.31136386333117
TX,2020-06-06 00:00:00,74470,1833,256.8295821051273
UT,2020-06-06 00:00:00,11798,121,368.00232566989337
VT,2020-06-06 00:00:00,1046,55,167.6311601646824
VA,2020-06-06 00:00:00,49397,1461,578.7228638352277
WA,2020-06-06 00:00:00,23442,1153,307.84411547214125
WV,2020-06-06 00:00:00,2136,84,119.18665154141931
WI,2020-06-06 00:00:00,20571,645,353.3058511268655
WY,2020-06-06 00:00:00,939,17,162.24369729023653
AL,2020-08-20 00:00:00,112449,1974,2293.386849568189
AK,2020-08-20 00:00:00,4520,29,617.8703975831972
AZ,2020-08-20 00:00:00,196280,4684,2696.6290899893484
AR,2020-08-20 00:00:00,54765,641,1814.730181284139
CA,2020-08-20 00:00:00,652267,11810,1650.798032801141
CO,2020-08-20 00:00:00,54211,1903,941.3697728112558
CT,2020-08-20 00:00:00,51432,4458,1442.5767126180865
DE,2020-08-20 00:00:00,16718,595,1716.8430954522864
DC,2020-08-20 00:00:00,13409,601,1899.9672688165344
FL,2020-08-20 00:00:00,588602,10049,2740.521499075997
GA,2020-08-20 00:00:00,246741,4904,2323.9254949152914
HI,2020-08-20 00:00:00,5844,45,412.74917506667276
ID,2020-08-20 00:00:00,29110,296,1628.9278789523605
IL,2020-08-20 00:00:00,215052,8044,1697.0883663839636
IN,2020-08-20 00:00:00,83277,3191,1236.9918447394534
IA,2020-08-20 00:00:00,54533,1016,1728.4244089671545
KS,2020-08-20 00:00:00,35907,419,1232.513899977826
KY,2020-08-20 00:00:00,41626,856,931.7154590320283
LA,2020-08-20 00:00:00,140821,4637,3029.194238333641
ME,2020-08-20 00:00:00,4253,128,316.39354506580815
MD,2020-08-20 00:00:00,102229,3669,1690.9429543078695
MA,2020-08-20 00:00:00,124728,8888,1809.6183636046296
MI,2020-08-20 00:00:00,104618,6634,1047.5568039073758
MN,2020-08-20 00:00:00,67308,1791,1193.482127911892
MS,2020-08-20 00:00:00,75449,2190,2535.1217294564217
MO,2020-08-20 00:00:00,72353,1442,1178.8814467558725
MT,2020-08-20 00:00:00,6072,89,568.1254666544409
NE,2020-08-20 00:00:00,31348,373,1620.5474749897644
NV,2020-08-20 00:00:00,63584,1172,2064.3110284024574
NH,2020-08-20 00:00:00,7050,428,518.4925326043549
NJ,2020-08-20 00:00:00,188527,15932,2122.5283404205493
