,date,total,covid,pct,rolling_pct
52,2020-03-24,6485,4885,0.7532767925983038,0.7394842461780358
53,2020-03-25,6450,4816,0.7466666666666667,0.7485783304391141
54,2020-03-26,6545,4877,0.7451489686783804,0.7483641426477837
55,2020-03-27,6127,4603,0.7512648930961319,0.7476935094803929
56,2020-03-28,2727,1982,0.7268060139347268,0.7410732919030797
57,2020-03-29,2735,1968,0.7195612431444242,0.7325440500584276
58,2020-03-30,5446,3870,0.710613294160852,0.7189935170800009
59,2020-03-31,6235,4162,0.6675220529270248,0.6992321967441003
60,2020-04-01,6512,4535,0.6964066339066339,0.6915139936648368
61,2020-04-02,6860,4661,0.6794460641399417,0.6811249169912003
62,2020-04-03,6240,4340,0.6955128205128205,0.690455172853132
63,2020-04-04,3153,2078,0.6590548683793213,0.6780045843440278
64,2020-04-05,2846,1983,0.696767392832045,0.683778360574729
65,2020-04-06,5583,3904,0.6992656277986745,0.6850292963366803
66,2020-04-07,6066,4323,0.7126607319485658,0.7028979175264286
67,2020-04-08,6214,4214,0.678146121660766,0.6966908271360022
68,2020-04-09,5434,3735,0.687338976812661,0.6927152768073309
69,2020-04-10,4742,3236,0.6824124841838887,0.6826325275524385
70,2020-04-11,2788,1695,0.6079626972740315,0.6592380527568604
71,2020-04-12,3028,1882,0.6215323645970938,0.6373025153516713
72,2020-04-13,5569,3752,0.6737295744298797,0.634408212100335
73,2020-04-14,5326,3713,0.6971460758542997,0.6641360049604244
74,2020-04-15,7030,4624,0.6577524893314367,0.6762093798718719
75,2020-04-16,6252,4186,0.6695457453614844,0.6748147701824069
76,2020-04-17,5873,3851,0.6557125830069811,0.6610036058999674
77,2020-04-18,3051,1801,0.5902982628646345,0.6385188637443667
78,2020-04-19,2828,1757,0.6212871287128713,0.6224326581948288
79,2020-04-20,5629,3586,0.63705809202345,0.616214494533652
80,2020-04-21,6352,4142,0.6520780856423174,0.6368077687928796
81,2020-04-22,6369,4080,0.6406029203956665,0.643246366020478
82,2020-04-23,6452,4047,0.6272473651580905,0.6399761237320248
83,2020-04-24,5953,3765,0.6324542247606249,0.6334348367714606
84,2020-04-25,3000,1626,0.542,0.6005671966395718
85,2020-04-26,2689,1632,0.6069170695425808,0.5937904314344019
86,2020-04-27,5601,3568,0.6370291019460811,0.5953153904962206
87,2020-04-28,6020,3931,0.6529900332225914,0.6323120682370845
88,2020-04-29,6095,3967,0.6508613617719442,0.6469601656468723
89,2020-04-30,6093,3921,0.6435253569670113,0.6491255839871823
90,2020-05-01,5597,3419,0.6108629623012328,0.6350832270133961
91,2020-05-02,2679,1572,0.5867861142217246,0.6137248111633229
92,2020-05-03,2641,1622,0.6141613025369178,0.6039367930199585
93,2020-05-04,5542,3386,0.6109707686755684,0.6039727284780703
94,2020-05-05,5816,3650,0.6275790921595599,0.6175703877906821
95,2020-05-06,6380,3912,0.613166144200627,0.6172386683452519
96,2020-05-07,6867,3851,0.5607980195136159,0.6005144186246009
97,2020-05-08,6110,3430,0.5613747954173486,0.5784463197105305
98,2020-05-09,2685,1556,0.5795158286778399,0.5672295478696014
99,2020-05-10,2623,1526,0.5817765916889058,0.5742224052613648
100,2020-05-11,5294,3121,0.5895353230071779,0.583609247791308
101,2020-05-12,5585,3471,0.6214861235452104,0.5975993460804314
102,2020-05-13,5603,3409,0.6084240585400679,0.6064818350308188
103,2020-05-14,5731,3495,0.6098412144477403,0.6132504655110061
104,2020-05-15,5995,3663,0.6110091743119266,0.6097581490999117
105,2020-05-16,2597,1529,0.5887562572198691,0.6032022153265121
106,2020-05-17,2481,1443,0.5816203143893591,0.5937952486403849
107,2020-05-18,5020,3029,0.603386454183267,0.5912543419308317
108,2020-05-19,5353,3212,0.6000373622267887,0.5950147102664717
109,2020-05-20,5469,3258,0.5957213384530993,0.5997150516210517
110,2020-05-21,5735,3300,0.5754141238012206,0.5903909414937029
111,2020-05-22,5027,2859,0.5687288641336782,0.5799547754626659
112,2020-05-23,2367,1382,0.5838614279678919,0.5760014719675969
113,2020-05-24,2364,1357,0.5740270727580372,0.5755391216198691
114,2020-05-25,2738,1555,0.5679327976625274,0.5752737661294854
115,2020-05-26,5146,2852,0.5542168674698795,0.5653922459634814
116,2020-05-27,5715,3067,0.5366579177602799,0.552935860964229
117,2020-05-28,5739,3064,0.5338909217633734,0.5415885689978442
118,2020-05-29,5566,2681,0.4816744520301833,0.517407763851279
119,2020-05-30,2959,1220,0.4123014531936465,0.47595560899573436
120,2020-05-31,2976,1192,0.40053763440860213,0.4315045132108106
121,2020-06-01,5290,2169,0.4100189035916824,0.4076193303979771
122,2020-06-02,5653,2262,0.40014151777817086,0.4035660185928185
123,2020-06-03,6590,2859,0.4338391502276176,0.41466652386582364
124,2020-06-04,6648,2845,0.4279482551143201,0.4206429743733695
125,2020-06-05,5625,2373,0.42186666666666667,0.4278846906695348
126,2020-06-06,2742,1025,0.3738147337709701,0.40787655185065236
127,2020-06-07,2557,974,0.38091513492373874,0.39219884512045855
128,2020-06-08,4856,2112,0.43492586490939045,0.39655191120136646
129,2020-06-09,5376,2247,0.41796875,0.4112699166110431
130,2020-06-10,5743,2363,0.4114574264321783,0.4214506804471896
131,2020-06-11,5783,2551,0.44112052567871346,0.4235155673702973
132,2020-06-12,5182,2283,0.44056348900038594,0.4310471470370925
133,2020-06-13,2753,1149,0.4173628768616055,0.43301563051356834
134,2020-06-14,2547,1034,0.4059678052610915,0.42129805704102763
135,2020-06-15,5477,2439,0.44531677925871826,0.42288248712713844
136,2020-06-16,5468,2456,0.4491587417702999,0.43348110876336987
137,2020-06-17,5643,2434,0.43133085238348395,0.4419354578041674
138,2020-06-18,5879,2477,0.4213301581901684,0.4339399174479841
139,2020-06-19,4965,2136,0.43021148036253776,0.42762416364539674
140,2020-06-20,2677,1175,0.43892416884572283,0.43015526913280966
141,2020-06-21,2509,1114,0.4440015942606616,0.4377124144896407
142,2020-06-22,4930,2283,0.46308316430020285,0.4486696424688624
143,2020-06-23,5507,2478,0.44997276193934993,0.4523525068334047
144,2020-06-24,5450,2425,0.44495412844036697,0.45267001822663994
145,2020-06-25,5725,2682,0.46847161572052404,0.45446616870008033
146,2020-06-26,5182,2547,0.491509069857198,0.46831160467269634
147,2020-06-27,2531,1040,0.4109047807190834,0.45696182209893516
148,2020-06-28,2490,1069,0.42931726907630524,0.4439103732175289
149,2020-06-29,5066,2335,0.46091590998815635,0.4337126532611817
150,2020-06-30,5400,2542,0.47074074074074074,0.45365797326840074
151,2020-07-01,5279,2399,0.4544421291911347,0.46203292664001056
152,2020-07-02,4861,2209,0.4544332441884386,0.4598720380401047
153,2020-07-03,3904,1750,0.44825819672131145,0.45237785670029496
154,2020-07-04,2477,999,0.4033104561970125,0.4353339657022542
155,2020-07-05,2520,1018,0.403968253968254,0.41851230229552594
156,2020-07-06,4540,2100,0.46255506607929514,0.42327792541485393
