,state_x,date,total,covid,pct,rolling_pct,state_y,cases,deaths,incidence,rolling_incidence
0,Massachusetts,2020-04-13,2700,1741,0.6448148148148148,0.6676888864722502,MA,1392.0,88.0,20.280393880878535,
1,Massachusetts,2020-04-14,2804,1643,0.5859486447931527,0.6347322741205729,MA,1297.0,0.0,18.89631531912147,
2,Massachusetts,2020-04-15,3269,1755,0.5368614255123891,0.5892082950401188,MA,1754.0,264.0,25.55446189200967,21.57705703066989
3,Massachusetts,2020-04-16,3303,1858,0.5625189221919468,0.5617763308324961,MA,2263.0,0.0,32.97020938341194,25.80699553151436
4,Massachusetts,2020-04-17,2594,1364,0.525828835774865,0.541736394493067,MA,2221.0,137.0,32.35830094589386,30.294324073771822
5,Massachusetts,2020-04-18,1129,727,0.6439326837909655,0.5774268139192591,MA,1970.0,159.0,28.701419569298082,31.343309966201293
6,Massachusetts,2020-04-19,1168,780,0.6678082191780822,0.6125232462479709,MA,1705.0,302.0,24.84056871352948,28.63342974290714
7,Massachusetts,2020-04-20,3003,1656,0.5514485514485514,0.621063151472533,MA,0.0,0.0,0.0,17.847329427609186
8,Massachusetts,2020-04-21,3463,1995,0.5760900952930985,0.5984489553065774,MA,3122.0,255.0,45.48519385550685,23.441920856345444
9,Massachusetts,2020-04-22,3168,1722,0.5435606060606061,0.5570330842674186,MA,1745.0,221.0,25.423338654022928,23.636177503176594
10,Massachusetts,2020-04-23,3227,1704,0.5280446234893089,0.5492317749476712,MA,3079.0,178.0,44.85871616947645,38.58908289300208
11,Massachusetts,2020-04-24,3034,1661,0.547462096242584,0.5396891085974996,MA,4946.0,196.0,72.05950314200413,47.44718598850117
12,Massachusetts,2020-04-25,1264,628,0.49683544303797467,0.5241140542566225,MA,2379.0,174.0,34.660242210842625,50.526153840774406
13,Massachusetts,2020-04-26,1208,655,0.5422185430463576,0.5288386941089721,MA,1590.0,169.0,23.165105134611167,43.294950162485975
14,Massachusetts,2020-04-27,2993,1649,0.5509522218509856,0.5300020693117726,MA,1524.0,104.0,22.20353473279704,26.67629402608361
15,Massachusetts,2020-04-28,2774,1568,0.5652487382840663,0.5528065010604698,MA,1840.0,150.0,26.807417262694685,24.058685710034297
16,Massachusetts,2020-04-29,3118,1643,0.5269403463758819,0.5477137688369779,MA,1963.0,252.0,28.59943482971164,25.870128941734453
17,Massachusetts,2020-04-30,3574,1761,0.49272523782876326,0.5283047741629038,MA,1940.0,157.0,28.264342113928024,27.890398068778115
18,Massachusetts,2020-05-01,3111,1459,0.4689810350369656,0.4962155397472035,MA,2106.0,154.0,30.682837366975377,29.182204770205015
19,Massachusetts,2020-05-02,1128,649,0.575354609929078,0.512353627598269,MA,1952.0,130.0,28.439173096076047,29.12878419232648
20,Massachusetts,2020-05-03,1131,710,0.627763041556145,0.5573662288407295,MA,1824.0,158.0,26.574309286497396,28.565439916516272
21,Massachusetts,2020-05-04,3095,1598,0.5163166397415185,0.5731447637422472,MA,1000.0,86.0,14.569248512334184,23.194243631635874
22,Massachusetts,2020-05-05,3099,1574,0.5079057760567925,0.5506618191181519,MA,1184.0,122.0,17.24999023860323,19.46451601247827
23,Massachusetts,2020-05-06,3031,1573,0.5189706367535467,0.5143976841839525,MA,1754.0,208.0,25.554461890634116,19.124566880523844
24,Massachusetts,2020-05-07,3469,1436,0.4139521475929663,0.4802761868011018,MA,1696.0,132.0,24.709445476918518,22.504632535385287
25,Massachusetts,2020-05-08,2802,1256,0.44825124910778014,0.4603913444847643,MA,1612.0,150.0,23.485628601882354,24.583178656478328
26,Massachusetts,2020-05-09,1282,774,0.6037441497659907,0.488649182155579,MA,1410.0,138.0,20.542640402391044,22.91257149373064
27,Massachusetts,2020-05-10,1031,690,0.6692531522793405,0.573749517051037,MA,1050.0,139.0,15.297710937950797,19.775326647408065
28,Massachusetts,2020-05-11,3018,1480,0.49039098740888004,0.5877960964847371,MA,669.0,129.0,9.746827254751452,15.195726198364431
29,Massachusetts,2020-05-12,2977,1521,0.5109170305676856,0.5568537234186354,MA,870.0,33.0,12.675246205730446,12.573261466144231
30,Massachusetts,2020-05-13,3121,1441,0.4617109900672861,0.48767300268128383,MA,1165.0,174.0,16.97317451686922,13.131749325783707
31,Massachusetts,2020-05-14,3326,1489,0.4476849067949489,0.47343764247664016,MA,1685.0,167.0,19.558182986224892,16.402201236274852
32,Massachusetts,2020-05-15,3275,1465,0.44732824427480916,0.4522413803790147,MA,1239.0,110.0,17.976053111619876,18.16913687157133
33,Massachusetts,2020-05-16,1176,616,0.5238095238095238,0.4729408916264273,MA,1512.0,113.0,21.936878373502395,19.82370482378239
34,Massachusetts,2020-05-17,1169,528,0.4516680923866553,0.4742686201569961,MA,1077.0,92.0,15.625673285887615,18.512868257003294
35,Massachusetts,2020-05-18,3087,1354,0.438613540654357,0.4713637189501787,MA,1042.0,65.0,15.117875175389827,17.560142278259946
36,Massachusetts,2020-05-19,3425,1632,0.4764963503649635,0.4555926611353253,MA,873.0,76.0,12.66593572755778,14.469828062945075
37,Massachusetts,2020-05-20,3076,1325,0.43075422626788035,0.448621372429067,MA,1045.0,128.0,15.161400727718274,14.315070543555294
38,Massachusetts,2020-05-21,3495,1426,0.4080114449213162,0.4384206738513867,MA,1114.0,82.0,16.16248843127096,14.663274962182337
39,Massachusetts,2020-05-22,3106,1293,0.41629104958145524,0.41835224025688394,MA,805.0,80.0,11.679356541447987,14.334415233479072
40,Massachusetts,2020-05-23,1311,776,0.5919145690312738,0.4720723545113485,MA,773.0,76.0,11.215083983278646,13.018976318665864
41,Massachusetts,2020-05-24,1152,612,0.53125,0.5131518728709098,MA,1013.0,68.0,14.697128169548932,12.530522898091855
42,Massachusetts,2020-05-25,1475,832,0.5640677966101695,0.5624107885471478,MA,596.0,44.0,8.647076395904378,11.519762849577319
43,Massachusetts,2020-05-26,2783,1172,0.42112827883578874,0.5054820251486527,MA,422.0,57.0,6.122594360858329,9.822266308770546
44,Massachusetts,2020-05-27,3159,1435,0.4542576764798987,0.479817917308619,MA,527.0,74.0,7.645988692351693,7.4718864830381335
45,Massachusetts,2020-05-28,3339,1339,0.40101826894279724,0.4254680747528283,MA,675.0,93.0,9.793249273885067,7.853944109031697
46,Massachusetts,2020-05-29,2826,1007,0.35633404104741684,0.4038699954900376,MA,617.0,78.0,8.951755262202823,8.796997742813195
47,Massachusetts,2020-05-30,1369,657,0.4799123447772096,0.41242155158914123,MA,789.0,50.0,11.447220262363317,10.06407493281707
48,Massachusetts,2020-05-31,1338,477,0.35650224215246634,0.3975828759923643,MA,664.0,78.0,9.633655582014399,10.010877035526846
49,Massachusetts,2020-06-01,3350,1155,0.3447761194029851,0.3937302354442204,MA,3840.0,189.0,55.712706980323446,25.597860941567053
50,Massachusetts,2020-06-02,3165,880,0.27804107424960506,0.32643981193501886,MA,358.0,50.0,5.194049244519647,23.51347060228583
