,ap_syndicated,collect_date,feeds,guid,language,media_id,media_name,media_url,processed_stories_id,publish_date,stories_id,story_tags,title,url,word_count,metadata
0,False,2020-04-08 15:57:07.698274,,https://www.politifact.com/factchecks/2020/apr/08/donald-trump/trump-claims-his-judicial-endorsement-caused-tony-/,en,664132,Mukwonago Chief,http://www.lakecountrynow.com/news/mukwonago-chief/,1980452482,2020-04-08 15:25:23,1572760353,[],Trump claims his tweet led Tony Evers to delay election. That's nonsense,http://rssfeeds.jsonline.com/~/621088018/0/milwaukee/home~Trump-claims-his-tweet-led-Tony-Evers-to-delay-election-Thats-nonsense/,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
1,False,2020-03-15 18:10:29.215466,,https://www.usatoday.com/story/money/2020/03/15/coronavirus-fed-cuts-rates-zero-agrees-buy-more-bonds/5054943002/,en,25451,greenbaypressgazette.com,http://www.greenbaypressgazette.com,1957467938,2020-03-15 18:09:40,1549076635,[],"Fed cuts rate to zero, launches more bond purchases in historic moves to fight coronavirus",http://rssfeeds.greenbaypressgazette.com/~/619874288/0/greenbay/home~Fed-cuts-rate-to-zero-launches-more-bond-purchases-in-historic-moves-to-fight-coronavirus/,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
2,False,2020-03-16 08:49:02.338225,,https://www.jsonline.com/story/money/business/retail/2020/03/16/kohls-start-selling-lands-end-online-and-select-stores/5044244002/,en,664191,North Shore Now,http://www.mynorthshorenow.com/,1957811129,2020-03-16 07:00:18,1549610483,[],Kohl's to start selling Lands' End online and in select stores,http://rssfeeds.jsonline.com/~/619896102/0/milwaukee/home~Kohls-to-start-selling-Lands-End-online-and-in-select-stores/,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
3,True,2020-08-14 02:43:53.510148,,https://wxow.com/2020/08/14/into-the-unknown-nba-teams-face-concerns-outside-of-bubble/,en,26537,wxow.com,http://www.wxow.com,2096438381,2020-08-14 02:37:06,1682973057,[],Into the unknown: NBA teams face concerns outside of bubble,https://wxow.com/2020/08/14/into-the-unknown-nba-teams-face-concerns-outside-of-bubble/,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
4,False,2020-04-08 12:21:45.929144,,5032691 at https://www.rivertowns.net,en,305457,piercecountyherald.com,http://piercecountyherald.com/,1980269351,2020-04-08 12:00:00,1572568872,[],Red Wing Ignite announces new director,https://www.rivertowns.net/business/5032691-Red-Wing-Ignite-announces-new-director,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
5,False,2020-04-10 17:59:16.833475,,32111268,en,77139,wisn.com,http://www.wisn.com/#spider,1982547757,2020-04-10 17:35:00,1574835182,[],Suicide hotlines report surge in calls after coronavirus outbreak,https://www.wisn.com/article/sacramento-suicide-hotlines-report-surge-calls-after-coronavirus-outbreak/32111268,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
6,False,2020-05-19 18:16:40.542010,,https://cbs58.com/news/masks-are-required-at-ford-plant-where-trump-will-visit,en,154428,cbs58.com,http://cbs58.com/,2022284292,2020-05-19 16:48:00,1611295808,[],Masks are required at Ford plant where Trump will visit,https://cbs58.com/news/masks-are-required-at-ford-plant-where-trump-will-visit,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
7,False,2020-03-13 20:10:46.596268,,https://www.jsonline.com/story/news/local/2020/03/13/wisconsin-nursing-home-visits-limited-due-coronavirus/5046726002/,en,24993,postcrescent.com,http://www.postcrescent.com,1956424232,2020-03-13 19:56:34,1547756069,[],"Visits to Wisconsin nursing homes should be limited to 'end of life situations' or 'essential' care, state says",http://rssfeeds.postcrescent.com/~/619804634/0/appleton/home~Visits-to-Wisconsin-nursing-homes-should-be-limited-to-end-of-life-situations-or-essential-care-state-says/,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
8,False,2020-03-27 13:45:57.837925,,https://www.jsonline.com/story/money/real-estate/commercial/2020/03/27/downtown-milwaukee-office-tower-opens-coronavirus-concerns-loom/2911499001/,en,664132,Mukwonago Chief,http://www.lakecountrynow.com/news/mukwonago-chief/,1968357752,2020-03-27 13:00:14,1560922931,[],Mark Irgens shows off Milwaukee's newest office tower -- as pandemic brings big concerns for developers,http://rssfeeds.jsonline.com/~/620426402/0/milwaukee/home~Mark-Irgens-shows-off-Milwaukees-newest-office-tower-as-pandemic-brings-big-concerns-for-developers/,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
9,False,2020-04-24 16:02:07.112337,,http://fox6now.com/?p=1376552,en,35631,fox6now.com,http://fox6now.com#spider,1998439625,2020-04-24 15:52:00,1588164252,[],Wisconsin Supreme Court rejects prisoner release request,https://fox6now.com/2020/04/24/wisconsin-supreme-court-rejects-prisoner-release-request/,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
