,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
16563,NE,2020-11-23,1860.0,25.0,96.15344849690337,105.75402323161845,2045.7142857142858,19.571428571428573
27795,NE,2020-11-24,0.0,0.0,0.0,89.47735652753416,1730.857142857143,16.857142857142858
27847,NE,2020-11-25,1761.0,16.0,91.03560365755311,81.7156611073924,1580.7142857142858,17.714285714285715
11103,NE,2020-11-26,5270.0,32.0,272.43477074122984,100.96850597923809,1953.142857142857,18.285714285714285
11051,NE,2020-11-27,1114.0,2.0,57.58867829330666,91.61163814163592,1772.142857142857,12.428571428571429
18435,NE,2020-11-28,1257.0,5.0,64.98112083903834,90.79189676044136,1756.2857142857142,12.0
18331,NE,2020-11-29,1143.0,0.0,59.08784496341923,91.6116381416358,1772.142857142857,11.428571428571429
14119,NE,2020-11-30,1941.0,29.0,100.34077609273663,92.2098277981834,1783.7142857142858,12.0
23479,NE,2020-12-01,1787.0,62.0,92.37968412041482,105.40692552967123,2039.0,20.857142857142858
14431,NE,2020-12-02,2336.0,48.0,120.76046004772434,109.65333358540998,2121.1428571428573,25.428571428571427
14379,NE,2020-12-03,2180.0,31.0,112.69597727056589,86.8335059467437,1679.7142857142858,25.285714285714285
2315,NE,2020-12-04,1615.0,27.0,83.48807490456875,90.53341974835257,1751.2857142857142,28.857142857142858
2367,NE,2020-12-05,2243.0,8.0,115.95278762288217,97.81508643175883,1892.142857142857,29.285714285714285
20359,NE,2020-12-06,1266.0,11.0,65.44637946079456,98.72344850281245,1909.7142857142858,30.857142857142858
20307,NE,2020-12-07,1293.0,31.0,66.84215532607413,93.9379312504321,1817.142857142857,31.142857142857142
12871,NE,2020-12-08,1468.0,35.0,75.88885074917016,91.58209791168285,1771.5714285714287,27.285714285714285
12819,NE,2020-12-09,1329.0,23.0,68.70318981310993,84.14534502102366,1627.7142857142858,23.714285714285715
16303,NE,2020-12-10,1850.0,35.0,95.63649447272837,81.70827604990401,1580.5714285714287,24.285714285714285
16355,NE,2020-12-11,1103.0,14.0,57.0200288667138,77.92712661592473,1507.4285714285713,22.428571428571427
6267,NE,2020-12-12,811.0,22.0,41.924971360745076,67.35172429276228,1302.857142857143,24.428571428571427
6215,NE,2020-12-13,1173.0,8.0,60.638707035950574,66.66491394635601,1289.5714285714287,24.0
11155,NE,2020-12-14,483.0,45.0,24.968879367746013,60.683017380880564,1173.857142857143,26.0
11207,NE,2020-12-15,1517.0,20.0,78.42192546763636,61.044885197804305,1180.857142857143,23.857142857142858
27639,NE,2020-12-16,1242.0,10.0,64.20568980277221,60.40238519632749,1168.4285714285713,22.0
27587,NE,2020-12-17,1297.0,5.0,67.04893693574377,56.31844840532968,1089.4285714285713,17.714285714285715
3719,NE,2020-12-18,1345.0,17.0,69.53031625179301,58.10563231748386,1124.0,18.142857142857142
3667,NE,2020-12-19,670.0,5.0,34.63591961985367,57.06433921164223,1103.857142857143,15.714285714285714
9179,NE,2020-12-20,967.0,11.0,49.98945413790716,55.5430173690646,1074.4285714285713,16.142857142857142
9231,NE,2020-12-21,721.0,25.0,37.27238514315468,57.300661051265834,1108.4285714285713,13.285714285714286
29979,NE,2020-12-22,1221.0,10.0,63.120086352000726,55.11468403474646,1066.142857142857,11.857142857142858
29927,NE,2020-12-23,1338.0,40.0,69.16844843486979,55.82364955361754,1079.857142857143,16.142857142857142
19371,NE,2020-12-24,695.0,7.0,35.928304680295696,51.37784494569639,993.8571428571429,16.428571428571427
19423,NE,2020-12-25,805.0,-10.0,41.614798946240626,47.38991390204605,916.7142857142857,12.571428571428571
4967,NE,2020-12-26,175.0,1.0,9.046695423096025,43.73431044536638,846.0,12.0
4915,NE,2020-12-27,637.0,0.0,32.92997134006873,41.29724147424661,798.8571428571429,10.428571428571429
28887,NE,2020-12-28,875.0,28.0,45.23347711547831,42.4345403274357,820.8571428571429,10.857142857142858
28835,NE,2020-12-29,932.0,16.0,48.18011505328832,40.300258713333925,779.5714285714286,11.714285714285714
1379,NE,2020-12-30,1516.0,8.0,78.3702300652185,41.61479894624089,805.0,7.142857142857143
1431,NE,2020-12-31,1501.0,40.0,77.59479902895328,47.5671552817634,920.1428571428571,11.857142857142858
19215,NE,2021-01-01,918.0,17.0,47.456379419440054,48.40166677793474,936.2857142857143,15.714285714285714
4447,NE,2021-01-02,546.0,1.0,28.225689720058654,51.14152310607226,989.2857142857143,15.714285714285714
4395,NE,2021-01-03,738.0,3.0,38.15120698425562,51.88741391238467,1003.7142857142857,16.142857142857142
9283,NE,2021-01-04,585.0,10.0,30.241810414348947,49.74574724079476,962.2857142857143,13.571428571428571
9335,NE,2021-01-05,1448.0,10.0,74.85494270081654,53.55643690472737,1036.0,12.714285714285714
30499,NE,2021-01-06,1436.0,11.0,74.234597871804,52.96563230566816,1024.5714285714287,13.142857142857142
30447,NE,2021-01-07,1122.0,16.0,58.00224151264774,50.16669551762451,970.4285714285714,9.714285714285714
7775,NE,2021-01-08,1023.0,14.0,52.884396673300216,50.94212655389025,985.4285714285714,9.285714285714286
7723,NE,2021-01-09,1006.0,4.0,52.005574832195634,54.33925299848124,1051.142857142857,9.714285714285714
26599,NE,2021-01-10,406.0,23.0,20.98833338158147,51.887413912384936,1003.7142857142857,12.571428571428571
26651,NE,2021-01-11,644.0,12.0,33.29183915699468,52.32313230419147,1012.1428571428571,12.857142857142858
13651,NE,2021-01-12,1000.0,19.0,51.69540241768664,49.014626549458626,948.1428571428571,14.142857142857142
13599,NE,2021-01-13,1529.0,12.0,79.04227029665344,49.70143689586569,961.4285714285714,14.285714285714286
1483,NE,2021-01-14,932.0,15.0,48.18011505328286,48.29827597309928,934.2857142857143,14.142857142857142
1535,NE,2021-01-15,779.0,19.0,40.27071848338528,46.496321945968575,899.4285714285714,14.857142857142858
23427,NE,2021-01-16,0.0,0.0,0.0,39.06695411279777,755.7142857142857,14.285714285714286
23375,NE,2021-01-17,1068.0,0.0,55.21068978209041,43.95586217001333,850.2857142857143,11.0
15471,NE,2021-01-18,198.0,5.0,10.235689678704148,40.66212653025754,786.5714285714286,10.0
15419,NE,2021-01-19,0.0,0.0,0.0,33.27706904201659,643.7142857142857,7.285714285714286
1795,NE,2021-01-20,2306.0,20.0,119.20959797519208,39.01525871037926,754.7142857142857,8.428571428571429
1847,NE,2021-01-21,864.0,6.0,44.66482768888636,38.513074801179755,745.0,7.142857142857143
20255,NE,2021-01-22,909.0,10.0,46.991120797682015,39.473132274650716,763.5714285714286,5.857142857142857
20203,NE,2021-01-23,599.0,1.0,30.965546048195392,43.8967817101072,849.1428571428571,6.0
23843,NE,2021-01-24,293.0,0.0,15.14675290838386,38.17336215672055,738.4285714285714,6.0
23895,NE,2021-01-25,646.0,15.0,33.39522996182859,41.48186791145262,802.4285714285714,7.428571428571429
14535,NE,2021-01-26,329.0,11.0,17.007787395421474,43.91155182508425,849.4285714285714,9.0
14483,NE,2021-01-27,662.0,12.0,34.22235640050894,31.770517314415233,614.5714285714286,7.857142857142857
22231,NE,2021-01-28,813.0,4.0,42.02836216558353,31.39387938251483,607.2857142857143,7.571428571428571
22179,NE,2021-01-29,0.0,0.0,0.0,24.68086212570311,477.42857142857144,6.142857142857143
10635,NE,2021-01-30,973.0,-1.0,50.29962655241252,27.44287362630556,530.8571428571429,5.857142857142857
